1: : Sorry!  ; cur: 7, Avg: 7.000000
205: : Sorry!  ; cur: 1, Avg: 5.000000
206: : Sorry!  ; cur: 1, Avg: 4.980583
207: : Sorry!  ; cur: 3, Avg: 4.971014
208: : Sorry!  ; cur: 2, Avg: 4.956731
209: : Sorry!  ; cur: 1, Avg: 4.937799
210: : Sorry!  ; cur: 1, Avg: 4.919048
211: : Sorry!  ; cur: 3, Avg: 4.909953
212: : Sorry!  ; cur: 2, Avg: 4.896226
213: : Sorry!  ; cur: 2, Avg: 4.882629
214: : Sorry!  ; cur: 2, Avg: 4.869159
215: : Sorry!  ; cur: 1, Avg: 4.851163
216: : Sorry!  ; cur: 5, Avg: 4.851852
217: : Sorry!  ; cur: 7, Avg: 4.861751
218: : Sorry!  ; cur: 1, Avg: 4.844037
219: : Sorry!  ; cur: 28, Avg: 4.949772
220: : Sorry!  ; cur: 4, Avg: 4.945455
221: : Sorry!  ; cur: 1, Avg: 4.927602
222: : Sorry!  ; cur: 1, Avg: 4.909910
223: : Sorry!  ; cur: 7, Avg: 4.919283
224: : Sorry!  ; cur: 15, Avg: 4.964286
225: : Sorry!  ; cur: 5, Avg: 4.964444
226: : Sorry!  ; cur: 2, Avg: 4.951327
227: : Sorry!  ; cur: 1, Avg: 4.933921
228: : Sorry!  ; cur: 1, Avg: 4.916667
229: : Sorry!  ; cur: 1, Avg: 4.899563
230: : Sorry!  ; cur: 1, Avg: 4.882609
231: : Sorry!  ; cur: 1, Avg: 4.865801
232: : Sorry!  ; cur: 10, Avg: 4.887931
233: : Sorry!  ; cur: 19, Avg: 4.948498
234: : Sorry!  ; cur: 15, Avg: 4.991453
235: : Sorry!  ; cur: 1, Avg: 4.974468
236: : Sorry!  ; cur: 14, Avg: 5.012712
237: : Sorry!  ; cur: 6, Avg: 5.016878
238: : Sorry!  ; cur: 2, Avg: 5.004202
239: : Sorry!  ; cur: 5, Avg: 5.004184
240: : Sorry!  ; cur: 5, Avg: 5.004167
241: : Sorry!  ; cur: 1, Avg: 4.987552
242: : Sorry!  ; cur: 1, Avg: 4.971074
243: : Sorry!  ; cur: 1, Avg: 4.954733
244: : Sorry!  ; cur: 1, Avg: 4.938525
245: : Sorry!  ; cur: 1, Avg: 4.922449
246: : Sorry!  ; cur: 2, Avg: 4.910569
247: : Sorry!  ; cur: 3, Avg: 4.902834
248: : Sorry!  ; cur: 1, Avg: 4.887097
249: : Sorry!  ; cur: 3, Avg: 4.879518
250: : Sorry!  ; cur: 15, Avg: 4.920000
251: : Sorry!  ; cur: 1, Avg: 4.904382
252: : Sorry!  ; cur: 6, Avg: 4.908730
253: : Sorry!  ; cur: 3, Avg: 4.901186
254: : Sorry!  ; cur: 2, Avg: 4.889764
255: : Sorry!  ; cur: 1, Avg: 4.874510
256: : Sorry!  ; cur: 3, Avg: 4.867188
257: : Sorry!  ; cur: 1, Avg: 4.852140
258: : Sorry!  ; cur: 1, Avg: 4.837209
259: : Sorry!  ; cur: 5, Avg: 4.837838
260: : Sorry!  ; cur: 13, Avg: 4.869231
261: : Sorry!  ; cur: 2, Avg: 4.858238
262: : Sorry!  ; cur: 2, Avg: 4.847328
263: : Sorry!  ; cur: 2, Avg: 4.836502
264: : Sorry!  ; cur: 8, Avg: 4.848485
265: : Sorry!  ; cur: 2, Avg: 4.837736
266: : Sorry!  ; cur: 1, Avg: 4.823308
267: : Sorry!  ; cur: 6, Avg: 4.827715
268: : Sorry!  ; cur: 1, Avg: 4.813433
269: : Sorry!  ; cur: 1, Avg: 4.799257
270: : Sorry!  ; cur: 3, Avg: 4.792593
271: : Sorry!  ; cur: 2, Avg: 4.782288
272: : Sorry!  ; cur: 15, Avg: 4.819853
273: : Sorry!  ; cur: 2, Avg: 4.809524
274: : Sorry!  ; cur: 1, Avg: 4.795620
275: : Sorry!  ; cur: 2, Avg: 4.785455
276: : Sorry!  ; cur: 14, Avg: 4.818841
277: : Sorry!  ; cur: 1, Avg: 4.805054
278: : Sorry!  ; cur: 1, Avg: 4.791367
279: : Sorry!  ; cur: 1, Avg: 4.777778
280: : Sorry!  ; cur: 6, Avg: 4.782143
281: : Sorry!  ; cur: 2, Avg: 4.772242
282: : Sorry!  ; cur: 1, Avg: 4.758865
283: : Sorry!  ; cur: 7, Avg: 4.766784
284: : Sorry!  ; cur: 9, Avg: 4.781690
285: : Sorry!  ; cur: 1, Avg: 4.768421
286: : Sorry!  ; cur: 3, Avg: 4.762238
287: : Sorry!  ; cur: 3, Avg: 4.756098
288: : Sorry!  ; cur: 5, Avg: 4.756944
289: : Sorry!  ; cur: 2, Avg: 4.747405
290: : Sorry!  ; cur: 6, Avg: 4.751724
291: : Sorry!  ; cur: 1, Avg: 4.738832
292: : Sorry!  ; cur: 1, Avg: 4.726027
293: : Sorry!  ; cur: 1, Avg: 4.713311
294: : Sorry!  ; cur: 1, Avg: 4.700680
295: : Sorry!  ; cur: 1, Avg: 4.688136
296: : Sorry!  ; cur: 2, Avg: 4.679054
297: : Sorry!  ; cur: 1, Avg: 4.666667
298: : Sorry!  ; cur: 6, Avg: 4.671141
299: : Sorry!  ; cur: 14, Avg: 4.702341
300: : Sorry!  ; cur: 4, Avg: 4.700000
301: : Sorry!  ; cur: 5, Avg: 4.700997
302: : Sorry!  ; cur: 4, Avg: 4.698675
303: : Sorry!  ; cur: 15, Avg: 4.732673
304: : Sorry!  ; cur: 1, Avg: 4.720395
305: : Sorry!  ; cur: 12, Avg: 4.744262
306: : Sorry!  ; cur: 1, Avg: 4.732026
307: : Sorry!  ; cur: 1, Avg: 4.719870
308: : Sorry!  ; cur: 3, Avg: 4.714286
309: : Sorry!  ; cur: 1, Avg: 4.702265
310: : Sorry!  ; cur: 1, Avg: 4.690323
311: : Sorry!  ; cur: 1, Avg: 4.678457
312: : Sorry!  ; cur: 1, Avg: 4.666667
313: : Sorry!  ; cur: 4, Avg: 4.664537
314: : Sorry!  ; cur: 1, Avg: 4.652866
315: : Sorry!  ; cur: 2, Avg: 4.644444
316: : Sorry!  ; cur: 4, Avg: 4.642405
317: : Sorry!  ; cur: 1, Avg: 4.630915
318: : Sorry!  ; cur: 4, Avg: 4.628931
319: : Sorry!  ; cur: 4, Avg: 4.626959
320: : Sorry!  ; cur: 7, Avg: 4.634375
321: : Sorry!  ; cur: 3, Avg: 4.629283
322: : Sorry!  ; cur: 1, Avg: 4.618012
323: : Sorry!  ; cur: 1, Avg: 4.606811
324: : Sorry!  ; cur: 6, Avg: 4.611111
325: : Sorry!  ; cur: 1, Avg: 4.600000
326: : Sorry!  ; cur: 6, Avg: 4.604294
327: : Sorry!  ; cur: 8, Avg: 4.614679
328: : Sorry!  ; cur: 3, Avg: 4.609756
329: : Sorry!  ; cur: 1, Avg: 4.598784
330: : Sorry!  ; cur: 7, Avg: 4.606061
331: : Sorry!  ; cur: 5, Avg: 4.607251
332: : Sorry!  ; cur: 3, Avg: 4.602410
333: : Sorry!  ; cur: 7, Avg: 4.609610
334: : Sorry!  ; cur: 4, Avg: 4.607784
335: : Sorry!  ; cur: 1, Avg: 4.597015
336: : Sorry!  ; cur: 3, Avg: 4.592262
337: : Sorry!  ; cur: 8, Avg: 4.602374
338: : Sorry!  ; cur: 1, Avg: 4.591716
339: : Sorry!  ; cur: 3, Avg: 4.587021
340: : Sorry!  ; cur: 6, Avg: 4.591176
341: : Sorry!  ; cur: 7, Avg: 4.598240
342: : Sorry!  ; cur: 3, Avg: 4.593567
343: : Sorry!  ; cur: 7, Avg: 4.600583
344: : Sorry!  ; cur: 5, Avg: 4.601744
345: : Sorry!  ; cur: 3, Avg: 4.597101
346: : Sorry!  ; cur: 1, Avg: 4.586705
347: : Sorry!  ; cur: 4, Avg: 4.585014
348: : Sorry!  ; cur: 1, Avg: 4.574713
349: : Sorry!  ; cur: 1, Avg: 4.564470
350: : Sorry!  ; cur: 5, Avg: 4.565714
351: : Sorry!  ; cur: 3, Avg: 4.561254
352: : Sorry!  ; cur: 2, Avg: 4.553977
353: : Sorry!  ; cur: 3, Avg: 4.549575
354: : Sorry!  ; cur: 3, Avg: 4.545198
355: : Sorry!  ; cur: 14, Avg: 4.571831
356: : Sorry!  ; cur: 1, Avg: 4.561798
357: : Sorry!  ; cur: 5, Avg: 4.563025
358: : Sorry!  ; cur: 1, Avg: 4.553073
359: : Sorry!  ; cur: 3, Avg: 4.548747
360: : Sorry!  ; cur: 2, Avg: 4.541667
361: : Sorry!  ; cur: 16, Avg: 4.573407
362: : Sorry!  ; cur: 2, Avg: 4.566298
363: : Sorry!  ; cur: 4, Avg: 4.564738
364: : Sorry!  ; cur: 1, Avg: 4.554945
365: : Sorry!  ; cur: 2, Avg: 4.547945
366: : Sorry!  ; cur: 3, Avg: 4.543716
367: : Sorry!  ; cur: 1, Avg: 4.534060
368: : Sorry!  ; cur: 2, Avg: 4.527174
369: : Sorry!  ; cur: 11, Avg: 4.544715
370: : Sorry!  ; cur: 2, Avg: 4.537838
371: : Sorry!  ; cur: 23, Avg: 4.587601
372: : Sorry!  ; cur: 6, Avg: 4.591398
373: : Sorry!  ; cur: 1, Avg: 4.581769
374: : Sorry!  ; cur: 2, Avg: 4.574866
375: : Sorry!  ; cur: 6, Avg: 4.578667
376: : Sorry!  ; cur: 2, Avg: 4.571809
377: : Sorry!  ; cur: 5, Avg: 4.572944
378: : Sorry!  ; cur: 6, Avg: 4.576720
379: : Sorry!  ; cur: 21, Avg: 4.620053
380: : Sorry!  ; cur: 2, Avg: 4.613158
381: : Sorry!  ; cur: 4, Avg: 4.611549
382: : Sorry!  ; cur: 1, Avg: 4.602094
383: : Sorry!  ; cur: 1, Avg: 4.592689
384: : Sorry!  ; cur: 1, Avg: 4.583333
385: : Sorry!  ; cur: 4, Avg: 4.581818
386: : Sorry!  ; cur: 2, Avg: 4.575130
387: : Sorry!  ; cur: 1, Avg: 4.565891
388: : Sorry!  ; cur: 8, Avg: 4.574742
389: : Sorry!  ; cur: 2, Avg: 4.568123
390: : Sorry!  ; cur: 1, Avg: 4.558974
391: : Sorry!  ; cur: 8, Avg: 4.567775
392: : Sorry!  ; cur: 3, Avg: 4.563776
393: : Sorry!  ; cur: 1, Avg: 4.554707
394: : Sorry!  ; cur: 4, Avg: 4.553299
395: : Sorry!  ; cur: 5, Avg: 4.554430
396: : Sorry!  ; cur: 1, Avg: 4.545455
397: : Sorry!  ; cur: 25, Avg: 4.596977
398: : Sorry!  ; cur: 1, Avg: 4.587940
399: : Sorry!  ; cur: 1, Avg: 4.578947
400: : Sorry!  ; cur: 1, Avg: 4.570000
401: : Sorry!  ; cur: 1, Avg: 4.561097
402: : Sorry!  ; cur: 6, Avg: 4.564677
403: : Sorry!  ; cur: 2, Avg: 4.558313
404: : Sorry!  ; cur: 1, Avg: 4.549505
405: : Sorry!  ; cur: 2, Avg: 4.543210
406: : Sorry!  ; cur: 1, Avg: 4.534483
407: : Sorry!  ; cur: 13, Avg: 4.555283
408: : Sorry!  ; cur: 5, Avg: 4.556373
409: : Sorry!  ; cur: 2, Avg: 4.550122
410: : Sorry!  ; cur: 1, Avg: 4.541463
411: : Sorry!  ; cur: 6, Avg: 4.545012
412: : Sorry!  ; cur: 1, Avg: 4.536408
413: : Sorry!  ; cur: 1, Avg: 4.527845
414: : Sorry!  ; cur: 3, Avg: 4.524155
415: : Sorry!  ; cur: 2, Avg: 4.518072
416: : Sorry!  ; cur: 5, Avg: 4.519231
417: : Sorry!  ; cur: 2, Avg: 4.513189
418: : Sorry!  ; cur: 1, Avg: 4.504785
419: : Sorry!  ; cur: 7, Avg: 4.510740
420: : Sorry!  ; cur: 1, Avg: 4.502381
421: : Sorry!  ; cur: 2, Avg: 4.496437
422: : Sorry!  ; cur: 1, Avg: 4.488152
423: : Sorry!  ; cur: 10, Avg: 4.501182
424: : Sorry!  ; cur: 1, Avg: 4.492925
425: : Sorry!  ; cur: 5, Avg: 4.494118
426: : Sorry!  ; cur: 12, Avg: 4.511737
427: : Sorry!  ; cur: 15, Avg: 4.536300
428: : Sorry!  ; cur: 7, Avg: 4.542056
429: : Sorry!  ; cur: 4, Avg: 4.540793
430: : Sorry!  ; cur: 4, Avg: 4.539535
431: : Sorry!  ; cur: 2, Avg: 4.533643
432: : Sorry!  ; cur: 1, Avg: 4.525463
433: : Sorry!  ; cur: 8, Avg: 4.533487
434: : Sorry!  ; cur: 6, Avg: 4.536866
435: : Sorry!  ; cur: 3, Avg: 4.533333
436: : Sorry!  ; cur: 7, Avg: 4.538991
437: : Sorry!  ; cur: 1, Avg: 4.530892
438: : Sorry!  ; cur: 1, Avg: 4.522831
439: : Sorry!  ; cur: 4, Avg: 4.521640
440: : Sorry!  ; cur: 6, Avg: 4.525000
441: : Sorry!  ; cur: 1, Avg: 4.517007
442: : Sorry!  ; cur: 1, Avg: 4.509050
443: : Sorry!  ; cur: 1, Avg: 4.501129
444: : Sorry!  ; cur: 1, Avg: 4.493243
445: : Sorry!  ; cur: 10, Avg: 4.505618
446: : Sorry!  ; cur: 1, Avg: 4.497758
447: : Sorry!  ; cur: 2, Avg: 4.492170
448: : Sorry!  ; cur: 1, Avg: 4.484375
449: : Sorry!  ; cur: 2, Avg: 4.478842
450: : Sorry!  ; cur: 3, Avg: 4.475556
451: : Sorry!  ; cur: 3, Avg: 4.472284
452: : Sorry!  ; cur: 10, Avg: 4.484513
453: : Sorry!  ; cur: 4, Avg: 4.483444
454: : Sorry!  ; cur: 2, Avg: 4.477974
455: : Sorry!  ; cur: 4, Avg: 4.476923
456: : Sorry!  ; cur: 2, Avg: 4.471491
457: : Sorry!  ; cur: 2, Avg: 4.466083
458: : Sorry!  ; cur: 1, Avg: 4.458515
459: : Sorry!  ; cur: 5, Avg: 4.459695
460: : Sorry!  ; cur: 2, Avg: 4.454348
461: : Sorry!  ; cur: 2, Avg: 4.449024
462: : Sorry!  ; cur: 7, Avg: 4.454545
463: : Sorry!  ; cur: 1, Avg: 4.447084
464: : Sorry!  ; cur: 5, Avg: 4.448276
465: : Sorry!  ; cur: 1, Avg: 4.440860
466: : Sorry!  ; cur: 6, Avg: 4.444206
467: : Sorry!  ; cur: 1, Avg: 4.436831
468: : Sorry!  ; cur: 1, Avg: 4.429487
469: : Sorry!  ; cur: 1, Avg: 4.422175
470: : Sorry!  ; cur: 1, Avg: 4.414894
471: : Sorry!  ; cur: 1, Avg: 4.407643
472: : Sorry!  ; cur: 8, Avg: 4.415254
473: : Sorry!  ; cur: 5, Avg: 4.416490
474: : Sorry!  ; cur: 3, Avg: 4.413502
475: : Sorry!  ; cur: 2, Avg: 4.408421
476: : Sorry!  ; cur: 1, Avg: 4.401261
477: : Sorry!  ; cur: 1, Avg: 4.394130
478: : Sorry!  ; cur: 2, Avg: 4.389121
479: : Sorry!  ; cur: 2, Avg: 4.384134
480: : Sorry!  ; cur: 13, Avg: 4.402083
481: : Sorry!  ; cur: 3, Avg: 4.399168
482: : Sorry!  ; cur: 1, Avg: 4.392116
483: : Sorry!  ; cur: 2, Avg: 4.387164
484: : Sorry!  ; cur: 1, Avg: 4.380165
485: : Sorry!  ; cur: 2, Avg: 4.375258
486: : Sorry!  ; cur: 2, Avg: 4.370370
487: : Sorry!  ; cur: 2, Avg: 4.365503
488: : Sorry!  ; cur: 1, Avg: 4.358607
489: : Sorry!  ; cur: 3, Avg: 4.355828
490: : Sorry!  ; cur: 8, Avg: 4.363265
491: : Sorry!  ; cur: 6, Avg: 4.366599
492: : Sorry!  ; cur: 3, Avg: 4.363821
493: : Sorry!  ; cur: 4, Avg: 4.363083
494: : Sorry!  ; cur: 1, Avg: 4.356275
495: : Sorry!  ; cur: 2, Avg: 4.351515
496: : Sorry!  ; cur: 1, Avg: 4.344758
497: : Sorry!  ; cur: 1, Avg: 4.338028
498: : Sorry!  ; cur: 1, Avg: 4.331325
499: : Sorry!  ; cur: 1, Avg: 4.324649
500: : Sorry!  ; cur: 23, Avg: 4.362000
501: : Sorry!  ; cur: 1, Avg: 4.355289
502: : Sorry!  ; cur: 1, Avg: 4.348606
503: : Sorry!  ; cur: 4, Avg: 4.347913
504: : Sorry!  ; cur: 1, Avg: 4.341270
505: : Sorry!  ; cur: 2, Avg: 4.336634
506: : Sorry!  ; cur: 2, Avg: 4.332016
507: : Sorry!  ; cur: 1, Avg: 4.325444
508: : Sorry!  ; cur: 1, Avg: 4.318898
509: : Sorry!  ; cur: 3, Avg: 4.316306
510: : Sorry!  ; cur: 19, Avg: 4.345098
511: : Sorry!  ; cur: 3, Avg: 4.342466
512: : Sorry!  ; cur: 4, Avg: 4.341797
513: : Sorry!  ; cur: 2, Avg: 4.337232
514: : Sorry!  ; cur: 1, Avg: 4.330739
515: : Sorry!  ; cur: 2, Avg: 4.326214
516: : Sorry!  ; cur: 12, Avg: 4.341085
517: : Sorry!  ; cur: 4, Avg: 4.340426
